sequence_number,US,source_a,source_c,source_b,source_d,source_e,source_m,source_o,source_h,source_r,source_s,source_t,source_u,source_p,source_x,source_w,Freq,last_update_days_ago,1st_update_days_ago,Web order,Gender=male,Address_is_res,Purchase,Spending,Partition,,
1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,3662,3662,1,0,1,1,128,s,,
2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2900,2900,1,1,0,0,0,s,,
3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,3883,3914,0,0,0,1,127,t,,
4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,829,829,0,1,0,0,0,s,,
5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,869,869,0,0,0,0,0,t,,
6,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1995,2002,0,0,1,0,0,s,,
7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1498,1529,0,0,1,0,0,s,,
8,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3397,3397,0,1,0,0,0,t,,
9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,525,2914,1,1,0,1,489,t,,
10,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3215,3215,0,0,0,1,174,v,,
11,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,734,734,0,1,0,0,0,s,,
12,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1275,1313,0,0,1,0,0,s,,
13,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2802,2802,1,1,0,0,0,t,,
14,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2081,2438,0,1,0,1,1416,v,,
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1465,1465,0,0,1,1,192,s,,
16,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2523,2523,1,0,0,0,0,v,,
17,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1801,1828,1,0,1,0,0,t,,
18,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3694,3694,1,0,0,0,0,t,,
19,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1879,1914,1,1,1,1,130,t,,
